t,det_l,det_r,x,y,z,dist,ipd,yaw,pitch,roll,arousal,valence,change,dwell,absent,approach,attending,state,det_ms,fsm_state,fsm_row
0.230,1,1,-0.1225,0.1976,-0.4137,0.4746,0.0612,-30.04,-6.56,11.22,0.051,0.002,0.000,0.00,0.00,0.000,0,calibrating,207.8,ALONE,
0.343,1,1,-0.1238,0.1993,-0.4168,0.4783,0.0769,-31.33,-3.31,7.63,0.077,0.002,0.085,0.00,0.00,-0.007,0,calibrating,11.7,ALONE,
0.404,1,1,-0.1232,0.1981,-0.4146,0.4757,0.0676,-32.00,-4.46,8.75,0.094,-0.007,0.183,0.00,0.00,0.003,0,calibrating,11.0,ALONE,
0.470,1,1,-0.1234,0.1986,-0.4152,0.4765,0.0667,-31.72,-4.57,8.08,0.112,-0.009,0.228,0.00,0.00,0.000,0,calibrating,11.2,ALONE,
0.532,1,1,-0.1222,0.1969,-0.4123,0.4729,0.0645,-31.59,-4.64,8.04,0.120,-0.017,0.295,0.00,0.00,0.012,0,calibrating,11.3,ALONE,
0.599,1,1,-0.1229,0.1977,-0.4136,0.4746,0.0701,-31.87,-3.20,7.72,0.130,-0.021,0.284,0.00,0.00,0.005,0,calibrating,10.6,ALONE,
0.717,1,1,-0.1233,0.1983,-0.4145,0.4757,0.0739,-31.73,-4.40,7.97,0.142,-0.022,0.266,0.00,0.00,0.002,0,calibrating,67.5,ALONE,
0.811,1,1,-0.1233,0.1981,-0.4144,0.4756,0.0658,-32.18,-3.99,7.97,0.139,-0.029,0.333,0.00,0.00,0.002,0,calibrating,14.4,ALONE,
0.866,1,1,-0.1237,0.1988,-0.4159,0.4773,0.0706,-31.78,-3.99,8.10,0.143,-0.031,0.363,0.00,0.00,-0.005,0,calibrating,10.7,ALONE,
0.914,1,1,-0.1232,0.1981,-0.4146,0.4757,0.0695,-31.33,-3.76,8.11,0.163,-0.026,0.616,0.00,0.00,0.003,0,calibrating,10.2,ALONE,
0.962,1,1,-0.1218,0.1970,-0.4120,0.4726,0.0645,-31.33,-4.97,7.84,0.171,-0.024,0.629,0.00,0.00,0.015,0,calibrating,10.1,ALONE,
1.010,1,1,-0.1221,0.1980,-0.4136,0.4746,0.0695,-31.22,-4.46,8.11,0.176,-0.016,0.608,0.00,0.00,0.004,0,calibrating,10.3,ALONE,
1.057,1,1,-0.1209,0.1965,-0.4109,0.4712,0.0729,-31.41,-5.32,8.35,0.175,-0.018,0.637,0.00,0.00,0.017,0,calibrating,9.9,ALONE,
1.123,1,1,-0.1203,0.1964,-0.4101,0.4704,0.0698,-29.77,-4.81,8.17,0.189,-0.014,0.699,0.00,0.00,0.016,0,calibrating,10.3,ALONE,
1.169,1,1,-0.1206,0.1974,-0.4113,0.4719,0.0733,-31.57,-4.70,7.92,0.197,-0.010,0.607,0.00,0.00,0.007,0,calibrating,9.8,ALONE,
1.217,1,1,-0.1208,0.1983,-0.4129,0.4737,0.0635,-31.05,-5.08,7.65,0.196,-0.011,0.599,0.00,0.00,-0.002,0,calibrating,10.2,ALONE,
1.267,1,1,-0.1196,0.1970,-0.4106,0.4709,0.0723,-29.96,-5.09,7.98,0.203,-0.008,0.610,0.00,0.00,0.010,0,calibrating,10.8,NOTICING,2
1.312,1,1,-0.1187,0.1964,-0.4097,0.4696,0.0697,-30.21,-5.48,7.61,0.190,-0.015,0.852,0.00,0.00,0.013,0,calibrating,10.2,NOTICING,
1.361,1,1,-0.1184,0.1971,-0.4105,0.4705,0.0701,-30.17,-6.56,7.97,0.183,-0.012,0.810,0.00,0.00,0.007,0,calibrating,10.3,NOTICING,
1.409,1,1,-0.1182,0.1983,-0.4130,0.4731,0.0726,-30.10,-6.70,7.48,0.172,-0.014,0.763,0.00,0.00,-0.005,0,calibrating,10.2,NOTICING,
1.458,1,1,-0.1174,0.1997,-0.4150,0.4753,0.0767,-29.20,-6.49,7.35,0.171,-0.014,0.732,0.00,0.00,-0.013,0,calibrating,10.3,NOTICING,
1.521,1,1,-0.1156,0.1996,-0.4146,0.4744,0.0698,-29.48,-6.50,6.73,0.161,-0.017,0.704,0.00,0.00,-0.008,0,calibrating,10.7,NOTICING,
1.569,1,1,-0.1156,0.2035,-0.4211,0.4817,0.0714,-29.63,-7.23,6.42,0.166,-0.016,0.776,0.00,0.00,-0.036,0,calibrating,10.3,NOTICING,
1.617,1,1,-0.1139,0.2052,-0.4249,0.4855,0.0807,-29.25,-5.52,6.26,0.176,-0.012,0.733,0.00,0.00,-0.045,0,calibrating,10.1,NOTICING,
1.665,1,1,-0.1122,0.2086,-0.4310,0.4918,0.0697,-28.21,-6.41,5.99,0.193,-0.008,0.748,0.00,0.00,-0.062,0,calibrating,10.2,NOTICING,
1.715,1,1,-0.1078,0.2096,-0.4321,0.4922,0.0671,-26.96,-6.31,4.98,0.217,0.003,0.809,0.00,0.00,-0.051,0,calibrating,10.5,NOTICING,
1.759,1,1,-0.1010,0.2086,-0.4296,0.4882,0.0664,-23.18,-7.09,3.78,0.215,-0.001,1.074,0.00,0.00,-0.023,0,calibrating,10.4,NOTICING,
1.810,1,1,-0.0892,0.2071,-0.4266,0.4826,0.0663,-13.10,-5.73,0.96,0.190,-0.006,1.216,0.05,0.00,0.004,1,calibrating,10.3,NOTICING,
1.859,1,1,-0.0752,0.2072,-0.4278,0.4812,0.0648,-4.90,-3.51,-2.73,0.161,-0.012,1.154,0.10,0.00,0.009,1,calibrating,10.3,NOTICING,
1.905,1,1,-0.0596,0.2061,-0.4297,0.4803,0.0648,1.18,-0.24,-4.91,0.142,-0.014,0.990,0.15,0.00,0.011,1,calibrating,10.1,NOTICING,
1.954,1,1,-0.0447,0.2032,-0.4297,0.4774,0.0640,6.33,-1.69,-6.30,0.152,-0.012,1.204,0.20,0.00,0.020,1,calibrating,10.2,NOTICING,
2.008,1,0,-0.0447,0.2032,-0.4297,0.4774,,-11.44,-10.47,-11.85,0.196,-0.011,1.499,0.25,0.00,0.020,1,calibrating,15.4,NOTICING,
2.060,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.05,0.020,0,unknown,4.6,NOTICING,
2.106,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.10,0.020,0,unknown,2.8,NOTICING,
2.154,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.15,0.020,0,unknown,2.7,NOTICING,
2.202,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.19,0.020,0,unknown,2.5,NOTICING,
2.251,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.24,0.020,0,unknown,2.6,NOTICING,
2.300,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.29,0.020,0,unknown,2.6,NOTICING,
2.348,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.34,0.020,0,unknown,2.6,NOTICING,
2.394,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.39,0.020,0,unknown,2.5,NOTICING,
2.441,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.43,0.020,0,unknown,2.6,NOTICING,
2.490,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.25,0.48,0.020,0,unknown,2.7,NOTICING,
2.540,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.53,0.020,0,unknown,2.8,NOTICING,
2.586,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.58,0.020,0,unknown,2.7,NOTICING,
2.635,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.63,0.020,0,unknown,2.7,NOTICING,
2.685,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.68,0.020,0,unknown,2.7,NOTICING,
2.729,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.72,0.020,0,unknown,2.8,NOTICING,
2.779,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.77,0.020,0,unknown,2.6,NOTICING,
2.828,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.82,0.020,0,unknown,2.7,NOTICING,
2.874,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.87,0.020,0,unknown,2.5,NOTICING,
2.911,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.90,0.020,0,unknown,2.6,NOTICING,
2.955,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.95,0.020,0,unknown,2.4,NOTICING,
3.001,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,0.99,0.020,0,unknown,2.6,NOTICING,
3.050,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.04,0.020,0,unknown,2.5,NOTICING,
3.100,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.09,0.020,0,unknown,2.8,NOTICING,
3.146,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.14,0.020,0,unknown,2.6,NOTICING,
3.194,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.19,0.020,0,unknown,2.6,NOTICING,
3.242,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.23,0.020,0,unknown,2.6,NOTICING,
3.290,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.28,0.020,0,unknown,2.5,NOTICING,
3.340,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.33,0.020,0,unknown,2.7,NOTICING,
3.386,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.38,0.020,0,unknown,2.6,NOTICING,
3.434,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.43,0.020,0,unknown,2.5,NOTICING,
3.482,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.47,0.020,0,unknown,2.6,NOTICING,
3.530,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.52,0.020,0,unknown,2.7,NOTICING,
3.578,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.57,0.020,0,unknown,2.5,ALONE,16
3.627,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.62,0.020,0,unknown,2.7,ALONE,
3.673,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.67,0.020,0,unknown,2.7,ALONE,
3.723,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.71,0.020,0,unknown,2.9,ALONE,
3.770,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.76,0.020,0,unknown,2.6,ALONE,
3.817,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.81,0.020,0,unknown,2.6,ALONE,
3.866,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.86,0.020,0,unknown,2.6,ALONE,
3.930,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.92,0.020,0,unknown,2.6,ALONE,
3.979,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,1.97,0.020,0,unknown,2.4,ALONE,
4.026,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.02,0.020,0,unknown,2.6,ALONE,
4.076,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.07,0.020,0,unknown,2.8,ALONE,
4.122,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.11,0.020,0,unknown,2.7,ALONE,
4.171,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.16,0.020,0,unknown,2.7,ALONE,
4.219,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.21,0.020,0,unknown,2.6,ALONE,
4.267,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.26,0.020,0,unknown,2.8,ALONE,
4.331,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.32,0.020,0,unknown,2.8,ALONE,
4.379,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.37,0.020,0,unknown,2.7,ALONE,
4.426,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.42,0.020,0,unknown,2.7,ALONE,
4.476,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.47,0.020,0,unknown,2.8,ALONE,
4.523,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.51,0.020,0,unknown,2.5,ALONE,
4.571,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.56,0.020,0,unknown,2.9,ALONE,
4.620,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.61,0.020,0,unknown,2.6,ALONE,
4.667,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.66,0.020,0,unknown,2.6,ALONE,
4.730,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.72,0.020,0,unknown,2.9,ALONE,
4.783,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.78,0.020,0,unknown,3.0,ALONE,
4.827,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.82,0.020,0,unknown,3.0,ALONE,
4.876,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.87,0.020,0,unknown,2.7,ALONE,
4.923,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.91,0.020,0,unknown,2.7,ALONE,
4.970,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,2.96,0.020,0,unknown,2.7,ALONE,
5.020,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.01,0.020,0,unknown,2.5,ALONE,
5.068,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.06,0.020,0,unknown,2.8,ALONE,
5.115,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.11,0.020,0,unknown,2.9,ALONE,
5.163,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.16,0.020,0,unknown,2.7,ALONE,
5.211,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.20,0.020,0,unknown,2.8,ALONE,
5.259,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.25,0.020,0,unknown,2.7,ALONE,
5.307,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.30,0.020,0,unknown,2.7,ALONE,
5.355,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.35,0.020,0,unknown,2.6,ALONE,
5.402,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.39,0.020,0,unknown,2.7,ALONE,
5.453,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.44,0.020,0,unknown,2.8,ALONE,
5.498,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.49,0.020,0,unknown,2.7,ALONE,
5.546,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.54,0.020,0,unknown,2.5,ALONE,
5.594,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.59,0.020,0,unknown,2.4,ALONE,
5.643,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.64,0.020,0,unknown,2.6,ALONE,
5.690,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.68,0.020,0,unknown,2.7,ALONE,
5.739,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.73,0.020,0,unknown,2.4,ALONE,
5.787,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.78,0.020,0,unknown,2.6,ALONE,
5.835,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.83,0.020,0,unknown,2.7,ALONE,
5.883,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.88,0.020,0,unknown,2.8,ALONE,
5.947,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.94,0.020,0,unknown,2.8,ALONE,
5.993,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,3.99,0.020,0,unknown,2.5,ALONE,
6.044,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,4.04,0.020,0,unknown,2.6,ALONE,
6.090,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,4.08,0.020,0,unknown,2.5,ALONE,
6.139,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,4.13,0.020,0,unknown,2.8,ALONE,
6.186,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,4.18,0.020,0,unknown,2.5,ALONE,
6.235,0,0,-0.0447,0.2032,-0.4297,0.4774,,nan,nan,nan,0.196,-0.011,1.499,0.00,4.23,0.020,0,unknown,2.8,ALONE,
6.290,1,0,-0.0447,0.2032,-0.4297,0.4774,,-0.77,-5.74,6.74,0.158,-0.026,2.249,0.06,0.00,0.020,1,neutral,10.6,ALONE,
6.354,1,0,-0.0447,0.2032,-0.4297,0.4774,,13.79,-14.83,0.76,0.179,0.021,2.746,0.12,0.00,0.020,1,neutral,10.4,ALONE,
6.403,1,1,0.0116,0.2216,-0.3828,0.4425,0.0624,15.06,-14.92,0.88,0.198,0.020,2.794,0.17,0.00,0.161,1,neutral,10.4,ALONE,
6.453,1,1,0.0579,0.2391,-0.3461,0.4247,0.0621,16.83,-16.76,0.17,0.209,0.024,2.329,0.22,0.00,0.200,1,neutral,11.4,ALONE,
6.514,1,1,0.0977,0.2556,-0.3158,0.4178,0.0590,19.97,-21.58,-1.68,0.223,0.060,2.299,0.28,0.00,0.183,1,neutral,10.3,ALONE,
6.563,1,1,0.1315,0.2709,-0.2923,0.4197,0.0658,23.62,-23.11,-2.93,0.244,0.076,2.087,0.00,0.00,0.139,0,neutral,10.3,ALONE,
6.611,1,1,0.1610,0.2848,-0.2741,0.4268,0.0646,26.54,-23.28,-3.20,0.265,0.101,1.920,0.00,0.00,0.081,0,neutral,10.2,ALONE,
6.659,1,1,0.1881,0.3002,-0.2619,0.4406,0.0671,25.65,-22.72,-1.88,0.244,0.147,2.292,0.00,0.00,0.008,0,neutral,10.3,ALONE,
6.707,1,1,0.2129,0.3152,-0.2540,0.4574,0.0644,25.36,-22.54,-0.97,0.218,0.164,2.174,0.00,0.00,-0.064,0,neutral,10.1,ALONE,
6.757,1,1,0.2336,0.3276,-0.2478,0.4725,0.0613,25.92,-21.90,0.87,0.203,0.173,1.827,0.00,0.00,-0.112,0,neutral,10.3,ALONE,
6.820,1,1,0.2572,0.3432,-0.2468,0.4948,0.0684,23.93,-19.42,3.73,0.182,0.182,1.586,0.00,0.00,-0.161,0,neutral,10.8,ALONE,
6.870,1,1,0.2821,0.3605,-0.2486,0.5209,0.0730,25.02,-23.27,4.25,0.167,0.150,1.882,0.00,0.00,-0.233,0,neutral,10.6,ALONE,
6.916,1,1,0.3032,0.3736,-0.2501,0.5423,0.0579,21.56,-19.96,6.56,0.158,0.141,1.750,0.00,0.00,-0.278,0,neutral,10.1,ALONE,
6.967,1,1,0.3242,0.3888,-0.2540,0.5664,0.0638,17.43,-20.42,9.67,0.141,0.129,1.578,0.00,0.00,-0.317,0,neutral,10.5,ALONE,
7.024,1,1,0.3441,0.4042,-0.2590,0.5907,0.0636,13.06,-18.00,13.67,0.124,0.168,1.931,0.00,0.00,-0.338,0,neutral,9.8,ALONE,
7.075,1,1,0.3588,0.4141,-0.2616,0.6072,0.0657,10.10,-20.03,15.55,0.116,0.183,1.791,0.00,0.00,-0.336,0,content,10.2,ALONE,
7.126,1,1,0.3713,0.4212,-0.2637,0.6203,0.0741,8.80,-17.82,17.00,0.106,0.170,1.809,0.05,0.00,-0.320,1,content,10.5,ALONE,
7.186,1,1,0.3819,0.4266,-0.2650,0.6309,0.0607,7.29,-17.14,18.62,0.098,0.185,1.777,0.11,0.00,-0.291,1,content,10.5,ALONE,
7.234,1,1,0.3928,0.4329,-0.2671,0.6426,0.0624,5.83,-18.14,19.55,0.089,0.157,2.063,0.16,0.00,-0.282,1,content,10.0,ALONE,
7.284,1,1,0.4013,0.4373,-0.2678,0.6512,0.0657,5.18,-18.17,20.39,0.080,0.133,1.714,0.21,0.00,-0.260,1,content,10.2,ALONE,
7.331,1,1,0.4061,0.4387,-0.2664,0.6545,0.0673,5.74,-17.83,20.45,0.078,0.147,1.912,0.26,0.00,-0.222,1,content,10.2,NOTICING,2
7.378,1,1,0.4117,0.4421,-0.2659,0.6600,0.0612,4.95,-18.26,21.06,0.083,0.163,1.675,0.30,0.00,-0.201,1,content,10.2,NOTICING,
7.430,1,1,0.4119,0.4401,-0.2619,0.6572,0.0656,5.49,-18.26,22.33,0.082,0.155,1.664,0.36,0.00,-0.150,1,content,10.4,NOTICING,
7.491,1,1,0.4137,0.4408,-0.2586,0.6575,0.0617,5.28,-18.77,22.69,0.078,0.141,1.433,0.42,0.00,-0.121,1,content,10.6,NOTICING,
7.555,1,1,0.4160,0.4431,-0.2549,0.6591,0.0612,6.14,-17.99,23.10,0.074,0.141,1.264,0.48,0.00,-0.102,1,content,10.9,NOTICING,
7.602,1,1,0.4191,0.4459,-0.2514,0.6616,0.0604,5.63,-18.51,23.42,0.075,0.121,1.342,0.53,0.00,-0.092,1,content,10.0,NOTICING,
7.651,1,1,0.4225,0.4474,-0.2474,0.6632,0.0621,6.13,-18.76,24.07,0.070,0.097,1.254,0.58,0.00,-0.080,1,content,10.4,NOTICING,
7.698,1,1,0.4281,0.4496,-0.2447,0.6673,0.0609,5.93,-17.80,24.22,0.069,0.093,1.263,0.62,0.00,-0.082,1,content,10.2,NOTICING,
7.747,1,1,0.4327,0.4484,-0.2413,0.6682,0.0621,5.79,-18.13,24.35,0.064,0.068,1.403,0.67,0.00,-0.069,1,neutral,10.5,NOTICING,
7.795,1,1,0.4409,0.4494,-0.2400,0.6737,0.0608,5.31,-18.59,24.87,0.067,0.059,1.348,0.72,0.00,-0.078,1,neutral,10.3,NOTICING,
7.842,1,1,0.4535,0.4526,-0.2412,0.6846,0.0619,4.83,-17.94,25.05,0.066,0.054,1.131,0.77,0.00,-0.108,1,neutral,10.3,NOTICING,
7.890,1,1,0.4679,0.4553,-0.2437,0.6968,0.0610,3.66,-16.95,26.31,0.067,0.044,1.004,0.81,0.00,-0.138,1,neutral,10.3,NOTICING,
7.955,1,1,0.4816,0.4543,-0.2461,0.7063,0.0617,3.67,-15.82,26.73,0.069,0.041,0.858,0.88,0.00,-0.140,1,neutral,10.7,NOTICING,
8.002,1,1,0.4974,0.4535,-0.2497,0.7179,0.0614,2.22,-15.46,27.92,0.068,0.024,0.939,0.93,0.00,-0.161,1,neutral,9.9,NOTICING,
8.050,1,1,0.5152,0.4534,-0.2547,0.7320,0.0605,2.12,-14.07,27.78,0.074,0.016,0.888,0.97,0.00,-0.188,1,neutral,10.3,NOTICING,
8.099,1,1,0.5330,0.4541,-0.2598,0.7469,0.0606,1.90,-13.27,28.40,0.072,0.012,0.830,1.02,0.00,-0.211,1,neutral,10.2,NOTICING,
8.146,1,1,0.5503,0.4564,-0.2654,0.7626,0.0626,-0.11,-13.60,29.39,0.070,0.003,0.759,1.07,0.00,-0.236,1,neutral,10.2,NOTICING,
8.194,1,1,0.5658,0.4596,-0.2711,0.7777,0.0608,-1.66,-12.51,30.93,0.078,0.004,0.808,1.12,0.00,-0.251,1,neutral,10.1,NOTICING,
8.241,1,1,0.5751,0.4593,-0.2749,0.7857,0.0618,-2.30,-10.77,32.13,0.076,-0.006,0.880,1.17,0.00,-0.235,1,neutral,10.2,NOTICING,
8.292,1,1,0.5855,0.4614,-0.2804,0.7964,0.0628,-3.31,-9.92,33.26,0.082,-0.009,0.837,1.22,0.00,-0.230,1,neutral,10.3,NOTICING,
8.371,1,1,0.5921,0.4626,-0.2854,0.8038,0.0622,-4.33,-9.07,34.61,0.090,-0.007,0.727,1.30,0.00,-0.202,1,neutral,11.4,NOTICING,
8.418,1,1,0.6000,0.4674,-0.2918,0.8146,0.0626,-5.39,-8.21,35.27,0.085,-0.013,0.815,1.34,0.00,-0.208,1,neutral,10.2,NOTICING,
8.465,1,1,0.6020,0.4689,-0.2957,0.8183,0.0622,-6.03,-6.89,35.74,0.086,0.001,0.987,1.39,0.00,-0.182,1,neutral,10.0,NOTICING,
8.515,1,1,0.5981,0.4664,-0.2967,0.8145,0.0616,-5.42,-6.55,36.26,0.086,0.002,0.943,1.44,0.00,-0.130,1,neutral,10.2,NOTICING,
